ticker,yahoo_symbol,name,sector,years,dow_years,note
MMM,,3M,Industrials,2000-2025,2000-2025,
AXP,,American Express,Financials,2000-2025,2000-2025,
AAPL,,Apple,Information Technology,2000-2025,2015-2025,
BA,,Boeing,Industrials,2000-2025,2000-2025,
CAT,,Caterpillar,Industrials,2000-2025,2000-2025,
CVX,,Chevron,Energy,2000-2025,2008-2025,
CSCO,,Cisco,Information Technology,2000-2025,2009-2025,
KO,,Coca-Cola,Consumer Staples,2000-2025,2000-2025,
DIS,,Disney,Communication Services,2000-2025,2000-2025,
GS,,Goldman Sachs,Financials,2000-2025,2014-2025,
HD,,Home Depot,Consumer Discretionary,2000-2025,2000-2025,
HON,,Honeywell,Industrials,2000-2025,2000-2007,Rejoined the Dow in August 2020
IBM,,IBM,Information Technology,2000-2025,2000-2025,
INTC,,Intel,Information Technology,2000-2025,2000-2024,Dropped from the Dow November 2024
JNJ,,Johnson & Johnson,Health Care,2000-2025,2000-2025,
JPM,,JPMorgan Chase,Financials,2000-2025,2000-2025,
MCD,,McDonald's,Consumer Discretionary,2000-2025,2000-2025,
MRK,,Merck,Health Care,2000-2025,2000-2025,
MSFT,,Microsoft,Information Technology,2000-2025,2000-2025,
NKE,,Nike,Consumer Discretionary,2000-2025,2014-2025,
PG,,Procter & Gamble,Consumer Staples,2000-2025,2000-2025,
TRV,,Travelers,Financials,2000-2025,2009-2025,
UNH,,UnitedHealth,Health Care,2000-2025,2013-2025,
VZ,,Verizon,Communication Services,2000-2025,2004-2025,
V,,Visa,Financials,2009-2025,2014-2025,IPO March 2008
WMT,,Walmart,Consumer Staples,2000-2025,2000-2025,
CRM,,Salesforce,Information Technology,2008-2025,2021-2025,
AMGN,,Amgen,Health Care,2000-2025,2021-2025,
NVDA,,Nvidia,Information Technology,2001-2025,2025-2025,Joined the Dow November 2024
SHW,,Sherwin-Williams,Materials,2000-2025,2025-2025,
AMZN,,Amazon,Consumer Discretionary,2000-2025,2024-2025,Joined the Dow February 2024
XOM,,ExxonMobil,Energy,2000-2025,2000-2020,
PFE,,Pfizer,Health Care,2000-2025,2004-2020,
RTX,,RTX,Industrials,2000-2025,2000-2020,United Technologies until the 2020 Raytheon merger
GE,,General Electric,Industrials,2000-2025,2000-2018,Dropped from the Dow June 2018
T,,AT&T,Communication Services,2000-2025,2000-2014,SBC took the AT&T name in 2005
HPQ,,HP,Information Technology,2000-2025,2000-2013,
BAC,,Bank of America,Financials,2000-2025,2008-2013,
C,,Citigroup,Financials,2000-2025,2000-2008,Bailed out 2008
