file,commons_page,file_url,author,license
2000-event.webp,https://commons.wikimedia.org/wiki/File:Bug_de_l%27an_2000.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fb/Bug_de_l%27an_2000.jpg,Bug de l'an 2000,CC-BY-SA-3.0
2000-gadget.webp,https://commons.wikimedia.org/wiki/File:Sony-PlayStation-2-30001-Console-FL.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Sony-PlayStation-2-30001-Console-FL.jpg/960px-Sony-PlayStation-2-30001-Console-FL.jpg,Evan-Amos,PD
2000-car.webp,https://commons.wikimedia.org/wiki/File:BMW_Z8_gr25.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/BMW_Z8_gr25.jpg/960px-BMW_Z8_gr25.jpg,Calreyn88,CC-BY-SA-4.0
2001-event.webp,https://commons.wikimedia.org/wiki/File:UA_Flight_175_hits_WTC_south_tower_9-11_edit.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/UA_Flight_175_hits_WTC_south_tower_9-11_edit.jpeg/960px-UA_Flight_175_hits_WTC_south_tower_9-11_edit.jpeg,UA_Flight_175_hits_WTC_south_tower_9-11.jpeg: Flickr user TheMachineStops (Robert J. Fisch) derivative work: upstateNYer,CC-BY-SA-2.0
2001-gadget.webp,https://commons.wikimedia.org/wiki/File:Apple_historic_iPod.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Apple_historic_iPod.JPG/960px-Apple_historic_iPod.JPG,Tokumeigakarinoaoshima,CC0
2001-car.webp,https://commons.wikimedia.org/wiki/File:Lamborghini_Murci%C3%A9lago_LP640_Roadster_Auto_Zuerich_2023_1X7A1436.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Lamborghini_Murci%C3%A9lago_LP640_Roadster_Auto_Zuerich_2023_1X7A1436.jpg/960px-Lamborghini_Murci%C3%A9lago_LP640_Roadster_Auto_Zuerich_2023_1X7A1436.jpg,Alexander-93,CC-BY-SA-4.0
2002-event.webp,https://commons.wikimedia.org/wiki/File:Euro_coins_and_banknotes.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Euro_coins_and_banknotes.jpg/960px-Euro_coins_and_banknotes.jpg,Avij (talk · contribs),PD
2002-gadget.webp,https://commons.wikimedia.org/wiki/File:Roomba_original.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f5/Roomba_original.jpg,Larry D. Moore,CC-BY-4.0
2002-car.webp,https://commons.wikimedia.org/wiki/File:Orange_Enzo_Ferrari_%287191948164%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Orange_Enzo_Ferrari_%287191948164%29.jpg/960px-Orange_Enzo_Ferrari_%287191948164%29.jpg,Axion23,CC-BY-2.0
2003-event.webp,https://commons.wikimedia.org/wiki/File:SaddamStatue.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/SaddamStatue.jpg/960px-SaddamStatue.jpg,Unknown U.S. military or Department of Defense employee,PD
2003-gadget.webp,https://commons.wikimedia.org/wiki/File:Nokia_1100.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Nokia_1100.JPG/960px-Nokia_1100.JPG,Georgy90,CC-BY-SA-3.0
2003-car.webp,https://commons.wikimedia.org/wiki/File:Porsche_Carrera_GT%2C_Techno-Classica_2025%2C_Essen_%28P1046086%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Porsche_Carrera_GT%2C_Techno-Classica_2025%2C_Essen_%28P1046086%29.jpg/960px-Porsche_Carrera_GT%2C_Techno-Classica_2025%2C_Essen_%28P1046086%29.jpg,Matti Blume,CC-BY-SA-4.0
2004-event.webp,https://commons.wikimedia.org/wiki/File:2004-tsunami.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/2004-tsunami.jpg/960px-2004-tsunami.jpg,"David Rydevik (email: david.rydevikgmail.com), Stockholm, Sweden.",PD
2004-gadget.webp,https://commons.wikimedia.org/wiki/File:Motorola_RAZR_V3-4901.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Motorola_RAZR_V3-4901.jpg/960px-Motorola_RAZR_V3-4901.jpg,Raimond Spekking,CC-BY-SA-4.0
2004-car.webp,https://commons.wikimedia.org/wiki/File:2005_Ford_GT_5.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/2005_Ford_GT_5.jpg/960px-2005_Ford_GT_5.jpg,Calreyn88,CC-BY-SA-4.0
2005-event.webp,https://commons.wikimedia.org/wiki/File:Katrina-noaaGOES12.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Katrina-noaaGOES12.jpg/960px-Katrina-noaaGOES12.jpg,NOAA,PD
2005-gadget.webp,https://commons.wikimedia.org/wiki/File:Xbox-360-Pro-wController.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Xbox-360-Pro-wController.jpg/960px-Xbox-360-Pro-wController.jpg,Evan-Amos,PD
2005-car.webp,https://commons.wikimedia.org/wiki/File:2009_Bugatti_Veyron_16.4.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/2009_Bugatti_Veyron_16.4.jpg/960px-2009_Bugatti_Veyron_16.4.jpg,Calreyn88,CC-BY-SA-4.0
2006-event.webp,https://commons.wikimedia.org/wiki/File:Pluto-01_Stern_03_Pluto_Color_TXT.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Pluto-01_Stern_03_Pluto_Color_TXT.jpg/960px-Pluto-01_Stern_03_Pluto_Color_TXT.jpg,NASA / Johns Hopkins University Applied Physics Laboratory / Southwest Research Institute,PD
2006-gadget.webp,https://commons.wikimedia.org/wiki/File:Wii-console.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Wii-console.jpg/960px-Wii-console.jpg,Evan-Amos,PD
